Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 3.7051e-05, 4.4866e-05, 3.8675e-05, 3.7872e-05, 3.8444e-05, 100, 100, 100, 1
O1_add, 0.00100127, 0.0010637, 0.00104287, 0.00106154, 0.000994575, 500, 500, 500, 1
O1_add, 0.00435863, 0.00399587, 0.00329698, 0.00429979, 0.00403974, 1000, 1000, 1000, 1
O1_add, 0.0156086, 0.0152179, 0.0149536, 0.0150907, 0.0157953, 2000, 2000, 2000, 1
O1_add, 0.0687171, 0.0629723, 0.0613819, 0.06107, 0.0604276, 4000, 4000, 4000, 1
O1_sub, 3.5844e-05, 4.2458e-05, 3.7406e-05, 3.7552e-05, 4.1087e-05, 100, 100, 100, 2
O1_sub, 0.00115097, 0.00114182, 0.00102236, 0.000980958, 0.000962615, 500, 500, 500, 2
O1_sub, 0.0030199, 0.00336276, 0.00337111, 0.0031476, 0.00333653, 1000, 1000, 1000, 2
O1_sub, 0.0163575, 0.0159617, 0.0155787, 0.0149266, 0.0159457, 2000, 2000, 2000, 2
O1_sub, 0.0646507, 0.064703, 0.0615347, 0.0634238, 0.0648643, 4000, 4000, 4000, 2
O1_matmul, 0.00222711, 0.00233801, 0.00222297, 0.00237545, 0.00220462, 100, 100, 100, 3
O1_matmul, 0.289248, 0.291404, 0.296644, 0.293838, 0.336469, 500, 500, 500, 3
O1_scalar, 3.1134e-05, 3.0868e-05, 3.1447e-05, 3.0153e-05, 2.936e-05, 100, 100, 100, 4
O1_scalar, 0.00089341, 0.000780332, 0.000856111, 0.000781366, 0.000784399, 500, 500, 500, 4
O1_scalar, 0.00256655, 0.00239047, 0.0023299, 0.00227972, 0.00248913, 1000, 1000, 1000, 4
O1_scalar, 0.0137817, 0.0134951, 0.0142724, 0.0133226, 0.0137074, 2000, 2000, 2000, 4
O1_scalar, 0.0543625, 0.0526259, 0.0511593, 0.0504671, 0.051543, 4000, 4000, 4000, 4
O1_transpose, 3.6035e-05, 3.7135e-05, 3.2632e-05, 3.3235e-05, 3.4863e-05, 100, 100, 100, 5
O1_transpose, 0.0010305, 0.000951906, 0.000931724, 0.000929987, 0.000947158, 500, 500, 500, 5
O1_transpose, 0.00274717, 0.00312818, 0.0030607, 0.00358171, 0.00303311, 1000, 1000, 1000, 5
O1_transpose, 0.0196207, 0.0134512, 0.0138585, 0.0134096, 0.0147062, 2000, 2000, 2000, 5
O1_transpose, 0.11215, 0.109832, 0.112714, 0.112609, 0.108742, 4000, 4000, 4000, 5
O1_sub_mul, 7.7583e-05, 7.1442e-05, 7.9285e-05, 8.2673e-05, 9.5846e-05, 100, 100, 100, 6
O1_sub_mul, 0.00211628, 0.00216089, 0.00218122, 0.00204035, 0.00207337, 500, 500, 500, 6
O1_sub_mul, 0.00608176, 0.0056659, 0.00575738, 0.00624821, 0.00631266, 1000, 1000, 1000, 6
O1_sub_mul, 0.0334746, 0.0358024, 0.0331701, 0.0336897, 0.0321062, 2000, 2000, 2000, 6
O1_sub_mul, 0.132102, 0.1316, 0.129178, 0.131612, 0.132183, 4000, 4000, 4000, 6
O2_add, 2.6996e-05, 2.5058e-05, 2.5623e-05, 2.6171e-05, 2.7197e-05, 100, 100, 100, 1
O2_add, 0.000850602, 0.00100534, 0.00086518, 0.00113498, 0.000950766, 500, 500, 500, 1
O2_add, 0.00222521, 0.0025163, 0.0025547, 0.00221244, 0.00230201, 1000, 1000, 1000, 1
O2_add, 0.0151663, 0.0156636, 0.013597, 0.0132009, 0.013146, 2000, 2000, 2000, 1
O2_add, 0.0608112, 0.0613309, 0.0605858, 0.0611061, 0.0597631, 4000, 4000, 4000, 1
O2_sub, 2.5873e-05, 2.7709e-05, 2.636e-05, 2.7213e-05, 3.0741e-05, 100, 100, 100, 2
O2_sub, 0.000804069, 0.00079908, 0.000740721, 0.000733945, 0.000798951, 500, 500, 500, 2
O2_sub, 0.00232241, 0.00284364, 0.00238873, 0.00279274, 0.0023623, 1000, 1000, 1000, 2
O2_sub, 0.0179587, 0.0153202, 0.0149727, 0.0148808, 0.0148339, 2000, 2000, 2000, 2
O2_sub, 0.0593421, 0.0619481, 0.0623771, 0.0602561, 0.0608342, 4000, 4000, 4000, 2
O2_matmul, 0.000791207, 0.000871055, 0.000808281, 0.000945963, 0.000853737, 100, 100, 100, 3
O2_matmul, 0.126037, 0.125818, 0.12383, 0.126359, 0.124735, 500, 500, 500, 3
O2_scalar, 2.7355e-05, 2.7024e-05, 2.7153e-05, 3.2951e-05, 2.8606e-05, 100, 100, 100, 4
O2_scalar, 0.000756633, 0.000696948, 0.000653177, 0.00066446, 0.00065305, 500, 500, 500, 4
O2_scalar, 0.00209311, 0.00199416, 0.00200788, 0.00198161, 0.00192479, 1000, 1000, 1000, 4
O2_scalar, 0.00910764, 0.00902429, 0.0080581, 0.00808006, 0.00754657, 2000, 2000, 2000, 4
O2_scalar, 0.0564928, 0.0621068, 0.057436, 0.0550864, 0.0564504, 4000, 4000, 4000, 4
O2_transpose, 2.8587e-05, 2.7103e-05, 2.9323e-05, 3.1453e-05, 3.0804e-05, 100, 100, 100, 5
O2_transpose, 0.000904137, 0.000833184, 0.000780554, 0.000860004, 0.00095317, 500, 500, 500, 5
O2_transpose, 0.00317207, 0.00320273, 0.0036735, 0.00345718, 0.00333977, 1000, 1000, 1000, 5
O2_transpose, 0.0159636, 0.017407, 0.0143625, 0.0166709, 0.0167908, 2000, 2000, 2000, 5
O2_transpose, 0.121923, 0.123532, 0.120611, 0.125909, 0.122236, 4000, 4000, 4000, 5
O2_sub_mul, 5.9333e-05, 6.012e-05, 6.2993e-05, 6.392e-05, 6.8544e-05, 100, 100, 100, 6
O2_sub_mul, 0.00192251, 0.00211367, 0.0017465, 0.00176236, 0.00243909, 500, 500, 500, 6
O2_sub_mul, 0.00530064, 0.00558431, 0.00555319, 0.00537046, 0.00554283, 1000, 1000, 1000, 6
O2_sub_mul, 0.0329029, 0.0357887, 0.0306636, 0.0366034, 0.0315889, 2000, 2000, 2000, 6
O2_sub_mul, 0.135707, 0.141103, 0.13646, 0.131553, 0.131091, 4000, 4000, 4000, 6
O3_add, 2.6252e-05, 2.4436e-05, 3.4293e-05, 2.469e-05, 3.2544e-05, 100, 100, 100, 1
O3_add, 0.000905536, 0.000759128, 0.000781735, 0.000754714, 0.000810146, 500, 500, 500, 1
