Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 3.9072e-05, 3.7811e-05, 3.6947e-05, 4.0499e-05, 4.2305e-05, 100, 100, 100, 1
O1_add, 0.00103281, 0.00106719, 0.000978172, 0.00116578, 0.00101314, 500, 500, 500, 1
O1_add, 0.00417462, 0.00420825, 0.00394961, 0.00409833, 0.00405106, 1000, 1000, 1000, 1
O1_add, 0.0160744, 0.0157745, 0.0168402, 0.0164292, 0.0150299, 2000, 2000, 2000, 1
O1_add, 0.0608851, 0.0683741, 0.0655609, 0.0668263, 0.0659926, 4000, 4000, 4000, 1
O1_sub, 3.9554e-05, 4.5216e-05, 3.7397e-05, 3.6516e-05, 4.0723e-05, 100, 100, 100, 2
O1_sub, 0.00110539, 0.00107868, 0.00104017, 0.000974065, 0.000903101, 500, 500, 500, 2
O1_sub, 0.00319986, 0.00295884, 0.00412667, 0.00438489, 0.00416754, 1000, 1000, 1000, 2
O1_sub, 0.0167197, 0.0156562, 0.0158806, 0.0151928, 0.0155368, 2000, 2000, 2000, 2
O1_sub, 0.0712868, 0.0635724, 0.0647389, 0.063901, 0.0636581, 4000, 4000, 4000, 2
O1_matmul, 0.000738503, 0.000757403, 0.000743971, 0.000741907, 0.000821057, 100, 100, 100, 3
O1_matmul, 0.11972, 0.121439, 0.11856, 0.117263, 0.120581, 500, 500, 500, 3
O1_scalar, 0.000101105, 3.3106e-05, 3.0284e-05, 3.2624e-05, 3.1364e-05, 100, 100, 100, 4
O1_scalar, 0.000820053, 0.000764918, 0.000821613, 0.000812639, 0.000758202, 500, 500, 500, 4
O1_scalar, 0.00230856, 0.00226555, 0.00241076, 0.00231427, 0.00277583, 1000, 1000, 1000, 4
O1_scalar, 0.0140612, 0.0138997, 0.0140741, 0.0138082, 0.0131442, 2000, 2000, 2000, 4
O1_scalar, 0.0521568, 0.0515484, 0.0512664, 0.0503875, 0.053224, 4000, 4000, 4000, 4
O1_transpose, 4.0049e-05, 3.0522e-05, 3.2963e-05, 3.2507e-05, 2.9347e-05, 100, 100, 100, 5
O1_transpose, 0.000978248, 0.000923069, 0.000943, 0.000942737, 0.000937818, 500, 500, 500, 5
O1_transpose, 0.00311476, 0.00308092, 0.00279224, 0.00295277, 0.00344505, 1000, 1000, 1000, 5
O1_transpose, 0.021709, 0.0212323, 0.0223458, 0.0222336, 0.0217202, 2000, 2000, 2000, 5
O1_transpose, 0.110359, 0.10924, 0.112435, 0.110832, 0.113765, 4000, 4000, 4000, 5
O1_sub_mul, 7.7534e-05, 8.6251e-05, 7.5066e-05, 7.4551e-05, 7.9669e-05, 100, 100, 100, 6
O1_sub_mul, 0.00212695, 0.00242949, 0.00216087, 0.00208175, 0.00196805, 500, 500, 500, 6
O1_sub_mul, 0.00741643, 0.00645987, 0.00569708, 0.00595475, 0.00576188, 1000, 1000, 1000, 6
O1_sub_mul, 0.0342313, 0.0311534, 0.0321066, 0.0349187, 0.0338261, 2000, 2000, 2000, 6
O1_sub_mul, 0.141772, 0.142099, 0.12954, 0.131343, 0.136042, 4000, 4000, 4000, 6
O2_add, 3.438e-05, 2.5786e-05, 2.5643e-05, 2.5948e-05, 2.8018e-05, 100, 100, 100, 1
O2_add, 0.000825178, 0.000755725, 0.000836376, 0.000822523, 0.000822026, 500, 500, 500, 1
O2_add, 0.00220061, 0.00294888, 0.00243716, 0.00277098, 0.00255724, 1000, 1000, 1000, 1
O2_add, 0.0161723, 0.0153791, 0.016004, 0.0151877, 0.0149469, 2000, 2000, 2000, 1
O2_add, 0.0620382, 0.0628888, 0.0613675, 0.061596, 0.0622245, 4000, 4000, 4000, 1
O2_sub, 2.5672e-05, 3.1262e-05, 2.4301e-05, 2.6172e-05, 2.753e-05, 100, 100, 100, 2
O2_sub, 0.000930212, 0.000800311, 0.00086186, 0.000845754, 0.000797669, 500, 500, 500, 2
O2_sub, 0.00253916, 0.00222851, 0.00233624, 0.00293081, 0.00222525, 1000, 1000, 1000, 2
O2_sub, 0.0149064, 0.0139717, 0.0157639, 0.0155012, 0.0114631, 2000, 2000, 2000, 2
O2_sub, 0.0620858, 0.0605586, 0.0622338, 0.0632189, 0.064283, 4000, 4000, 4000, 2
O2_matmul, 0.000796059, 0.000718786, 0.000716893, 0.000782343, 0.0007358, 100, 100, 100, 3
O2_matmul, 0.119062, 0.12396, 0.121727, 0.119059, 0.121486, 500, 500, 500, 3
O2_scalar, 2.7825e-05, 2.6656e-05, 2.7246e-05, 3.1129e-05, 2.707e-05, 100, 100, 100, 4
O2_scalar, 0.000797428, 0.000678173, 0.000830164, 0.000705886, 0.000687426, 500, 500, 500, 4
O2_scalar, 0.00217257, 0.00236506, 0.00207179, 0.00218888, 0.00198091, 1000, 1000, 1000, 4
O2_scalar, 0.00622812, 0.00698991, 0.00742094, 0.00740425, 0.00636186, 2000, 2000, 2000, 4
O2_scalar, 0.057743, 0.0569351, 0.0595304, 0.0556249, 0.0568692, 4000, 4000, 4000, 4
O2_transpose, 3.2907e-05, 3.2238e-05, 3.1857e-05, 3.4664e-05, 3.1064e-05, 100, 100, 100, 5
O2_transpose, 0.000992279, 0.00084835, 0.000927704, 0.000800637, 0.000803332, 500, 500, 500, 5
O2_transpose, 0.00370779, 0.00306315, 0.00315259, 0.00310356, 0.0038951, 1000, 1000, 1000, 5
O2_transpose, 0.0210738, 0.023328, 0.0199182, 0.0185291, 0.020657, 2000, 2000, 2000, 5
O2_transpose, 0.125203, 0.125244, 0.124135, 0.120987, 0.125415, 4000, 4000, 4000, 5
O2_sub_mul, 6.0595e-05, 6.334e-05, 5.9487e-05, 6.2625e-05, 5.9728e-05, 100, 100, 100, 6
O2_sub_mul, 0.00178636, 0.00172844, 0.00191087, 0.00178853, 0.00173179, 500, 500, 500, 6
O2_sub_mul, 0.00575094, 0.00509722, 0.00576642, 0.00524799, 0.00521456, 1000, 1000, 1000, 6
O2_sub_mul, 0.0317278, 0.0337173, 0.0363922, 0.0339592, 0.0335562, 2000, 2000, 2000, 6
O2_sub_mul, 0.139096, 0.135382, 0.13521, 0.136429, 0.133, 4000, 4000, 4000, 6
