Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 0.000192481, 0.000232866, 0.000223821, 0.000234676, 0.000208632, 100, 100, 100, 1
O1_add, 0.00337767, 0.0139941, 0.0150262, 0.00725799, 0.00954468, 500, 500, 500, 1
O1_add, 0.0106982, 0.0108887, 0.00470299, 0.00657854, 0.0031295, 1000, 1000, 1000, 1
O1_add, 0.0190377, 0.0193852, 0.0200028, 0.0218582, 0.0173375, 2000, 2000, 2000, 1
O1_add, 0.0606477, 0.0635188, 0.0689356, 0.0625993, 0.0712067, 4000, 4000, 4000, 1
O1_sub, 0.00229041, 0.00243342, 0.00759776, 0.00192134, 0.00253729, 100, 100, 100, 2
O1_sub, 0.00508508, 0.00229727, 0.00899788, 0.00962807, 0.00293748, 500, 500, 500, 2
O1_sub, 0.0170486, 0.00942294, 0.00395269, 0.00433473, 0.00312311, 1000, 1000, 1000, 2
O1_sub, 0.0168892, 0.020723, 0.016967, 0.01688, 0.016275, 2000, 2000, 2000, 2
O1_sub, 0.0642619, 0.0689126, 0.0708732, 0.0613221, 0.067441, 4000, 4000, 4000, 2
O1_matmul, 0.00915473, 0.00462961, 0.0049144, 0.00261993, 0.00265348, 100, 100, 100, 3
O1_matmul, 0.041875, 0.0308274, 0.0242749, 0.0461898, 0.0426588, 500, 500, 500, 3
O1_matmul, 0.148138, 0.154004, 0.130909, 0.128052, 0.133587, 1000, 1000, 1000, 3
O1_matmul, 1.01452, 0.993479, 0.991716, 0.982854, 1.00278, 2000, 2000, 2000, 3
O1_matmul, 7.40958, 7.39754, 7.45812, 7.45661, 7.58247, 4000, 4000, 4000, 3
O1_scalar, 0.00791981, 0.000338086, 0.000312379, 0.00123619, 0.00389807, 100, 100, 100, 4
O1_scalar, 0.00204746, 0.00508516, 0.00964851, 0.0018276, 0.00445885, 500, 500, 500, 4
O1_scalar, 0.00385417, 0.00402475, 0.00367333, 0.00354512, 0.00414246, 1000, 1000, 1000, 4
O1_scalar, 0.00951739, 0.0120387, 0.0145793, 0.0142211, 0.0163132, 2000, 2000, 2000, 4
O1_scalar, 0.062742, 0.0598892, 0.0625766, 0.0639473, 0.0644891, 4000, 4000, 4000, 4
O1_transpose, 0.00063803, 0.000222859, 0.000344001, 0.00290774, 0.000263074, 100, 100, 100, 5
O1_transpose, 0.00658884, 0.00735116, 0.00311809, 0.00528788, 0.00452006, 500, 500, 500, 5
O1_transpose, 0.00440154, 0.00585073, 0.0110601, 0.00456021, 0.00793748, 1000, 1000, 1000, 5
O1_transpose, 0.00949912, 0.00926896, 0.00941169, 0.00944471, 0.00921406, 2000, 2000, 2000, 5
O1_transpose, 0.0779361, 0.0877505, 0.0980837, 0.0815483, 0.0979595, 4000, 4000, 4000, 5
O1_sub_mul, 0.0155194, 0.0217862, 0.0299035, 0.00662663, 0.0214401, 100, 100, 100, 6
O1_sub_mul, 0.0130691, 0.0264857, 0.019797, 0.0228094, 0.00274526, 500, 500, 500, 6
O1_sub_mul, 0.0144669, 0.0127382, 0.0377683, 0.015028, 0.0388902, 1000, 1000, 1000, 6
O1_sub_mul, 0.0404435, 0.0451577, 0.0723002, 0.0408745, 0.0381209, 2000, 2000, 2000, 6
O1_sub_mul, 0.151284, 0.150163, 0.164127, 0.157464, 0.159553, 4000, 4000, 4000, 6
O2_add, 0.00378768, 0.00774821, 0.00582394, 0.0115581, 0.00024231, 100, 100, 100, 1
O2_add, 0.00139729, 0.0210287, 0.00431108, 0.00201162, 0.00316126, 500, 500, 500, 1
O2_add, 0.00304609, 0.00417254, 0.00781433, 0.00336647, 0.00390489, 1000, 1000, 1000, 1
O2_add, 0.0191038, 0.0238126, 0.0196045, 0.0093227, 0.0123711, 2000, 2000, 2000, 1
O2_add, 0.0748009, 0.0707536, 0.0716828, 0.0713306, 0.0729568, 4000, 4000, 4000, 1
O2_sub, 0.00683688, 0.00672859, 0.000250416, 0.00585807, 0.000245723, 100, 100, 100, 2
O2_sub, 0.00635311, 0.00247831, 0.0189029, 0.0211582, 0.0348973, 500, 500, 500, 2
O2_sub, 0.0156504, 0.00458157, 0.0129091, 0.0139719, 0.00458215, 1000, 1000, 1000, 2
O2_sub, 0.0150918, 0.0186343, 0.0220974, 0.0298823, 0.0178228, 2000, 2000, 2000, 2
O2_sub, 0.0771705, 0.0760056, 0.0781592, 0.0774052, 0.0698666, 4000, 4000, 4000, 2
O2_matmul, 0.000804628, 0.00215991, 0.00261798, 0.00691866, 0.00381293, 100, 100, 100, 3
O2_matmul, 0.0322643, 0.0396026, 0.0305362, 0.0198658, 0.0279861, 500, 500, 500, 3
O2_matmul, 0.131868, 0.133186, 0.109673, 0.112581, 0.110934, 1000, 1000, 1000, 3
O2_matmul, 1.01371, 0.925721, 0.910241, 0.877954, 0.884432, 2000, 2000, 2000, 3
O2_matmul, 6.5607, 7.13579, 7.07288, 6.42646, 6.63555, 4000, 4000, 4000, 3
O2_scalar, 0.000185162, 0.00175292, 0.000206418, 0.00625453, 0.00309737, 100, 100, 100, 4
O2_scalar, 0.00236943, 0.00525412, 0.00254968, 0.0154396, 0.0187742, 500, 500, 500, 4
O2_scalar, 0.00422369, 0.00571804, 0.00395689, 0.00648786, 0.00480553, 1000, 1000, 1000, 4
O2_scalar, 0.00853911, 0.0187511, 0.00863261, 0.00734749, 0.0174703, 2000, 2000, 2000, 4
O2_scalar, 0.0720559, 0.0719237, 0.0706159, 0.0716257, 0.0696048, 4000, 4000, 4000, 4
O2_transpose, 0.000228493, 0.000217713, 0.00017974, 0.000206973, 0.000177392, 100, 100, 100, 5
O2_transpose, 0.00116949, 0.00112807, 0.00345282, 0.028831, 0.0231013, 500, 500, 500, 5
O2_transpose, 0.0048335, 0.00270224, 0.00437602, 0.00440752, 0.00419326, 1000, 1000, 1000, 5
O2_transpose, 0.00813278, 0.00925903, 0.0107401, 0.00880858, 0.00798856, 2000, 2000, 2000, 5
O2_transpose, 0.0921257, 0.0921439, 0.097596, 0.0940778, 0.0946634, 4000, 4000, 4000, 5
O2_sub_mul, 0.000267024, 0.00119238, 0.00782229, 0.0071831, 0.000255985, 100, 100, 100, 6
O2_sub_mul, 0.00272802, 0.00729386, 0.00383776, 0.00444897, 0.0163191, 500, 500, 500, 6
O2_sub_mul, 0.0282004, 0.0158524, 0.0202233, 0.0247572, 0.019126, 1000, 1000, 1000, 6
O2_sub_mul, 0.0386127, 0.0391951, 0.046462, 0.0294532, 0.0405808, 2000, 2000, 2000, 6
O2_sub_mul, 0.175245, 0.175232, 0.174911, 0.175188, 0.162568, 4000, 4000, 4000, 6
O3_add, 0.00224097, 0.000279559, 0.00984848, 0.00216198, 0.000220879, 100, 100, 100, 1
O3_add, 0.00760752, 0.00171228, 0.00520784, 0.00164913, 0.00155252, 500, 500, 500, 1
O3_add, 0.0097857, 0.00598333, 0.00585166, 0.00415234, 0.0114427, 1000, 1000, 1000, 1
O3_add, 0.0197984, 0.00863872, 0.0172405, 0.0123223, 0.0321304, 2000, 2000, 2000, 1
O3_add, 0.0775079, 0.0721136, 0.0798494, 0.0753579, 0.0733416, 4000, 4000, 4000, 1
O3_sub, 0.000249631, 0.000234908, 0.000176198, 0.00296799, 0.0116076, 100, 100, 100, 2
O3_sub, 0.00119541, 0.00140013, 0.00351814, 0.00145833, 0.0030663, 500, 500, 500, 2
O3_sub, 0.00406856, 0.00552798, 0.0093662, 0.00339214, 0.00940965, 1000, 1000, 1000, 2
O3_sub, 0.00818816, 0.0087492, 0.00824003, 0.0116971, 0.0130235, 2000, 2000, 2000, 2
O3_sub, 0.0764106, 0.0698116, 0.0732943, 0.0708157, 0.0795126, 4000, 4000, 4000, 2
O3_matmul, 0.0033849, 0.0151512, 0.00453756, 0.00242716, 0.00594184, 100, 100, 100, 3
O3_matmul, 0.0226411, 0.0227852, 0.0307579, 0.0363974, 0.0184976, 500, 500, 500, 3
