Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 0.0123941, 0.0119493, 0.00760144, 0.00828745, 0.00045084, 100, 100, 100, 1
O1_add, 0.0142734, 0.00257494, 0.00531115, 0.00480267, 0.007049, 500, 500, 500, 1
O1_add, 0.00910397, 0.00438915, 0.018986, 0.00658391, 0.0118705, 1000, 1000, 1000, 1
O1_add, 0.01697, 0.0185627, 0.0154012, 0.0152519, 0.0160849, 2000, 2000, 2000, 1
O1_add, 0.231424, 0.0676853, 0.0632522, 0.0741735, 0.0836966, 4000, 4000, 4000, 1
O1_sub, 0.00780375, 0.00618082, 0.000246744, 0.00806909, 0.00024393, 100, 100, 100, 2
O1_sub, 0.00452269, 0.0146462, 0.00428455, 0.0044801, 0.00867049, 500, 500, 500, 2
O1_sub, 0.00995699, 0.00989118, 0.00540241, 0.0159046, 0.0259578, 1000, 1000, 1000, 2
O1_sub, 0.0174448, 0.0209551, 0.0184378, 0.0245632, 0.0224024, 2000, 2000, 2000, 2
O1_sub, 0.0679111, 0.0715167, 0.0628577, 0.0607975, 0.0601749, 4000, 4000, 4000, 2
O1_matmul, 0.00154072, 0.00148243, 0.00567778, 0.00145454, 0.00148676, 100, 100, 100, 3
O1_matmul, 0.195342, 0.163183, 0.159522, 0.161234, 0.159068, 500, 500, 500, 3
O1_matmul, 1.40466, 1.38263, 1.38026, 1.38041, 1.39318, 1000, 1000, 1000, 3
O1_matmul, 11.3066, 11.3314, 11.2122, 11.209, 11.1534, 2000, 2000, 2000, 3
O1_matmul, 90.7555, 91.0021, 90.7624, 91.0492, 90.7882, 4000, 4000, 4000, 3
O1_scalar, 0.000209529, 0.000220462, 0.000200859, 0.00241821, 0.000206076, 100, 100, 100, 4
O1_scalar, 0.00112636, 0.0092066, 0.0106432, 0.00386463, 0.00136112, 500, 500, 500, 4
O1_scalar, 0.0096505, 0.00466934, 0.00547666, 0.00589816, 0.00713783, 1000, 1000, 1000, 4
O1_scalar, 0.0212875, 0.0192466, 0.0150225, 0.0186067, 0.0152957, 2000, 2000, 2000, 4
O1_scalar, 0.0664915, 0.0580408, 0.06862, 0.0600219, 0.0610894, 4000, 4000, 4000, 4
O1_transpose, 0.000222287, 0.00021515, 0.000215799, 0.00731482, 0.000224865, 100, 100, 100, 5
O1_transpose, 0.0034162, 0.00113466, 0.00415818, 0.00161494, 0.00162423, 500, 500, 500, 5
O1_transpose, 0.0034327, 0.00487868, 0.00382436, 0.0041287, 0.00402678, 1000, 1000, 1000, 5
O1_transpose, 0.022679, 0.0171173, 0.0202833, 0.019102, 0.0183116, 2000, 2000, 2000, 5
O1_transpose, 0.0870079, 0.0845951, 0.0836661, 0.0790959, 0.0792769, 4000, 4000, 4000, 5
