Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 0.00988927, 0.00754542, 0.000326739, 0.000317973, 0.00316998, 100, 100, 100, 1
O1_add, 0.00167074, 0.0053983, 0.00162207, 0.0020221, 0.00521464, 500, 500, 500, 1
O1_add, 0.00395265, 0.00892834, 0.00519542, 0.00745004, 0.00559908, 1000, 1000, 1000, 1
O1_add, 0.0198979, 0.017426, 0.0160355, 0.0158125, 0.0211595, 2000, 2000, 2000, 1
O1_add, 0.0587019, 0.0577691, 0.0574917, 0.0579454, 0.0646053, 4000, 4000, 4000, 1
O1_sub, 0.0036648, 0.0144471, 0.000265209, 0.00189498, 0.000243589, 100, 100, 100, 2
O1_sub, 0.00176931, 0.0133238, 0.0159602, 0.0143243, 0.00120947, 500, 500, 500, 2
O1_sub, 0.00689588, 0.00307501, 0.00900637, 0.00676213, 0.0186213, 1000, 1000, 1000, 2
O1_sub, 0.019824, 0.0151537, 0.015866, 0.020334, 0.0159329, 2000, 2000, 2000, 2
O1_sub, 0.0623744, 0.0620379, 0.0659152, 0.0588832, 0.0743552, 4000, 4000, 4000, 2
O1_matmul, 0.000687998, 0.00347685, 0.000680889, 0.000682309, 0.00986648, 100, 100, 100, 3
O1_matmul, 0.0804005, 0.0481742, 0.0965396, 0.0613293, 0.0478518, 500, 500, 500, 3
O1_matmul, 0.394752, 0.38096, 0.370307, 0.353104, 0.374773, 1000, 1000, 1000, 3
O1_matmul, 2.88306, 2.81841, 2.91567, 2.82343, 2.83332, 2000, 2000, 2000, 3
O1_matmul, 23.2761, 23.6791, 23.2021, 22.9676, 23.0304, 4000, 4000, 4000, 3
O1_scalar, 0.000202804, 0.000197899, 0.000213537, 0.000206155, 0.000221383, 100, 100, 100, 4
O1_scalar, 0.0011144, 0.00119526, 0.00177688, 0.00180037, 0.00762046, 500, 500, 500, 4
O1_scalar, 0.00403958, 0.00347264, 0.00354238, 0.00282218, 0.0045774, 1000, 1000, 1000, 4
O1_scalar, 0.0152813, 0.0165033, 0.0160224, 0.0152353, 0.0165913, 2000, 2000, 2000, 4
O1_scalar, 0.0566462, 0.0555342, 0.0607295, 0.0551504, 0.0554919, 4000, 4000, 4000, 4
O1_transpose, 0.000223551, 0.000257816, 0.000175653, 0.000180075, 0.000186033, 100, 100, 100, 5
O1_transpose, 0.00112574, 0.0011485, 0.00590261, 0.00885453, 0.00111347, 500, 500, 500, 5
O1_transpose, 0.00296528, 0.00345738, 0.00281695, 0.00616502, 0.0109488, 1000, 1000, 1000, 5
O1_transpose, 0.0196207, 0.0191883, 0.019192, 0.019154, 0.0188205, 2000, 2000, 2000, 5
O1_transpose, 0.0748338, 0.0915011, 0.0841083, 0.0751717, 0.0750506, 4000, 4000, 4000, 5
O1_sub_mul, 0.000273928, 0.0002803, 0.000281609, 0.000233113, 0.00883297, 100, 100, 100, 6
O1_sub_mul, 0.0091349, 0.00815351, 0.0115436, 0.0109331, 0.00528416, 500, 500, 500, 6
O1_sub_mul, 0.0150261, 0.006444, 0.0167784, 0.00641277, 0.0100283, 1000, 1000, 1000, 6
O1_sub_mul, 0.0386222, 0.0440322, 0.0389138, 0.0379057, 0.0389367, 2000, 2000, 2000, 6
O1_sub_mul, 0.144785, 0.137133, 0.149205, 0.173943, 0.145447, 4000, 4000, 4000, 6
O2_add, 0.00232213, 0.00546975, 0.0132784, 0.0127844, 0.0138719, 100, 100, 100, 1
