Config, run1, run2, run3, run4, run5, M, N, R, metric
np4_t_compute, 0.00308344, 0.00298992, 0.00349707, 0.00460315, 0.00215446, 100, 100, 100, t_compute
np4_t_comm, 7.8074e-05, 8.8445e-05, 8.5603e-05, 8.6821e-05, 6.7769e-05, 100, 100, 100, t_comm
np4_t_total, 0.00354873, 0.00350664, 0.00411397, 0.00519436, 0.00256098, 100, 100, 100, t_total
np4_t_compute, 0.0192096, 0.0165267, 0.0166502, 0.0166205, 0.0169422, 200, 200, 200, t_compute
np4_t_comm, 0.000189064, 0.000189138, 0.000183665, 0.000186666, 0.000180882, 200, 200, 200, t_comm
np4_t_total, 0.020871, 0.0181225, 0.0182786, 0.0183839, 0.0188429, 200, 200, 200, t_total
np4_t_compute, 0.131681, 0.144334, 0.12976, 0.131716, 0.162555, 400, 400, 400, t_compute
np4_t_comm, 0.000831257, 0.000938738, 0.000960995, 0.000884723, 0.000857743, 400, 400, 400, t_comm
np4_t_total, 0.138328, 0.150715, 0.136317, 0.137942, 0.168953, 400, 400, 400, t_total
np4_t_compute, 1.03171, 1.03654, 1.04054, 2.15635, 1.2759, 800, 800, 800, t_compute
np4_t_comm, 0.00342926, 0.00377687, 0.00366058, 0.00487636, 0.00498537, 800, 800, 800, t_comm
np4_t_total, 1.05624, 1.06208, 1.06489, 2.18675, 1.3058, 800, 800, 800, t_total
np8_t_compute, , , , , , 100, 100, 100, t_compute
np8_t_comm, , , , , , 100, 100, 100, t_comm
np8_t_total, , , , , , 100, 100, 100, t_total
np8_t_compute, , , , , , 200, 200, 200, t_compute
np8_t_comm, , , , , , 200, 200, 200, t_comm
np8_t_total, , , , , , 200, 200, 200, t_total
np8_t_compute, , , , , , 400, 400, 400, t_compute
np8_t_comm, , , , , , 400, 400, 400, t_comm
np8_t_total, , , , , , 400, 400, 400, t_total
np8_t_compute, , , , , , 800, 800, 800, t_compute
np8_t_comm, , , , , , 800, 800, 800, t_comm
np8_t_total, , , , , , 800, 800, 800, t_total
