Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 6.6593e-05, 5.2311e-05, 4.9705e-05, 5.257e-05, 5.9811e-05, 100, 100, 100, 1
O1_add, 0.00153601, 0.0015651, 0.00158609, 0.00158793, 0.00159565, 500, 500, 500, 1
O1_add, 0.00517051, 0.00513226, 0.00517523, 0.00508238, 0.00513432, 1000, 1000, 1000, 1
O1_add, 0.0185673, 0.0185425, 0.0183851, 0.0184332, 0.0185166, 2000, 2000, 2000, 1
O1_add, 0.0700484, 0.0697443, 0.0697877, 0.0695735, 0.0694428, 4000, 4000, 4000, 1
O1_sub, 5.4684e-05, 5.1578e-05, 5.1188e-05, 4.8884e-05, 5.2461e-05, 100, 100, 100, 2
O1_sub, 0.00143075, 0.00113552, 0.00118008, 0.00121755, 0.00131546, 500, 500, 500, 2
O1_sub, 0.00466501, 0.00447279, 0.00450687, 0.00448449, 0.00450002, 1000, 1000, 1000, 2
O1_sub, 0.0180679, 0.0176921, 0.0177979, 0.0176398, 0.0176767, 2000, 2000, 2000, 2
O1_sub, 0.0676613, 0.0678273, 0.0681591, 0.0678933, 0.0679996, 4000, 4000, 4000, 2
O1_matmul, 0.00128993, 0.00113011, 0.00123724, 0.00137937, 0.00135176, 100, 100, 100, 3
O1_matmul, 0.0663213, 0.0665686, 0.0668194, 0.0666949, 0.0666835, 500, 500, 500, 3
O1_matmul, 0.538615, 0.538484, 0.538652, 0.539888, 0.538914, 1000, 1000, 1000, 3
O1_matmul, 4.42919, 4.41459, 4.46896, 4.54963, 4.48757, 2000, 2000, 2000, 3
O1_matmul, 37.0351, 37.1253, 37.0638, 37.08, 37.054, 4000, 4000, 4000, 3
O1_scalar, 7.923e-05, 5.3772e-05, 9.2431e-05, 5.983e-05, 6.2717e-05, 100, 100, 100, 4
O1_scalar, 0.00159676, 0.00119394, 0.000974458, 0.000960016, 0.000928407, 500, 500, 500, 4
O1_scalar, 0.00325148, 0.00278149, 0.00289185, 0.00293968, 0.0030759, 1000, 1000, 1000, 4
O1_scalar, 0.0153873, 0.0150843, 0.0150914, 0.0151921, 0.0154466, 2000, 2000, 2000, 4
O1_scalar, 0.0570919, 0.0570888, 0.0570473, 0.0570413, 0.0570261, 4000, 4000, 4000, 4
O1_transpose, 4.3997e-05, 4.562e-05, 4.0922e-05, 3.98e-05, 4.2525e-05, 100, 100, 100, 5
O1_transpose, 0.00134079, 0.00105012, 0.00110749, 0.0011663, 0.00138565, 500, 500, 500, 5
O1_transpose, 0.00517534, 0.00492256, 0.00484825, 0.00449526, 0.00440929, 1000, 1000, 1000, 5
O1_transpose, 0.0218209, 0.0216907, 0.022035, 0.0216618, 0.0217846, 2000, 2000, 2000, 5
O1_transpose, 0.0798291, 0.0797506, 0.0790058, 0.0792748, 0.0791989, 4000, 4000, 4000, 5
O1_sub_mul, 0.000118471, 9.3494e-05, 9.219e-05, 9.2432e-05, 9.2911e-05, 100, 100, 100, 6
O1_sub_mul, 0.00338947, 0.00320842, 0.00362613, 0.0036445, 0.00354564, 500, 500, 500, 6
O1_sub_mul, 0.010632, 0.00953972, 0.0109603, 0.011892, 0.0114799, 1000, 1000, 1000, 6
O1_sub_mul, 0.0369804, 0.0369989, 0.0373122, 0.036737, 0.0368338, 2000, 2000, 2000, 6
O1_sub_mul, 0.143709, 0.14771, 0.148018, 0.148123, 0.144277, 4000, 4000, 4000, 6
O2_add, 5.5875e-05, 3.7657e-05, 3.7597e-05, 3.5944e-05, 3.5494e-05, 100, 100, 100, 1
O2_add, 0.00131708, 0.00103833, 0.00118779, 0.00124687, 0.00124999, 500, 500, 500, 1
O2_add, 0.0044999, 0.00429632, 0.00446049, 0.00445912, 0.00438355, 1000, 1000, 1000, 1
O2_add, 0.0168916, 0.0168862, 0.0169978, 0.0169123, 0.0166535, 2000, 2000, 2000, 1
O2_add, 0.0641749, 0.0635123, 0.0638529, 0.0633418, 0.0630673, 4000, 4000, 4000, 1
O2_sub, 3.848e-05, 3.8419e-05, 3.5965e-05, 4.0402e-05, 3.6886e-05, 100, 100, 100, 2
