M,run1,run2,run3,run4,run5
25,0.0147604,0.014656,0.0294388,0.0144722,0.0145424
50,0.0154474,0.0168516,0.0177594,0.0154656,0.0154916
75,0.0161526,0.0161346,0.0164474,0.0163728,0.0162192
100,0.019145,0.0173768,0.0172148,0.0171962,0.0173264
200,0.0261738,0.0261996,0.0262018,0.0262478,0.0271114
400,0.0703028,0.0703272,0.0704154,0.0704414,0.0705576
800,0.509723,0.511424,0.512097,0.512219,0.511998
1600,3.45415,3.45287,3.4526,3.45677,3.44553
3200,26.3104,24.0647,24.0645,24.0533,24.0715
6400,206.368,206.201,205.942,206.027,205.844
