M,run1,run2,run3,run4,run5
25,0.0164034,0.0164086,0.0163852,0.02474,0.016365
50,0.0173322,0.015005,0.0151914,0.0153974,0.018198
75,0.0162944,0.0166074,0.0161026,0.0165976,0.0160024
100,0.017711,0.0184442,0.0172024,0.0171664,0.0171822
200,0.0306086,0.0304488,0.030565,0.0306182,0.0306146
400,0.160084,0.159275,0.159687,0.160222,0.16018
800,1.65638,1.65855,1.66152,1.65643,1.65734
1600,12.3268,12.3277,11.8395,11.831,11.828
3200,91.0721,89.81,89.8508,89.8588,89.9478
6400,823.817,831.026,834.571,841.966,850.016
12800,36498.5,36489.9,36491.2,36489.3,36494.4
25600,,,,,
