Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 5.7438e-05, 5.0197e-05, 4.8484e-05, 4.8885e-05, 4.7963e-05, 100, 100, 100, 1
O1_add, 0.00116503, 0.00111497, 0.00110449, 0.00111291, 0.00110736, 500, 500, 500, 1
O1_add, 0.00301551, 0.00284566, 0.00281748, 0.00282375, 0.00286569, 1000, 1000, 1000, 1
O1_add, 0.0113558, 0.0113907, 0.0113649, 0.0113746, 0.0113766, 2000, 2000, 2000, 1
O1_add, 0.0428797, 0.0428744, 0.0429005, 0.0428799, 0.0428947, 4000, 4000, 4000, 1
O1_sub, 5.5023e-05, 4.9776e-05, 5.6988e-05, 4.7913e-05, 4.7983e-05, 100, 100, 100, 2
O1_sub, 0.00122615, 0.00117251, 0.00110585, 0.00110379, 0.00112849, 500, 500, 500, 2
O1_sub, 0.00305361, 0.00288336, 0.00286564, 0.00285943, 0.002854, 1000, 1000, 1000, 2
O1_sub, 0.0113916, 0.0113375, 0.01135, 0.0113686, 0.0113662, 2000, 2000, 2000, 2
O1_sub, 0.0428802, 0.0429826, 0.0429062, 0.0428747, 0.0428612, 4000, 4000, 4000, 2
O1_matmul, 0.000595418, 0.000588065, 0.00058403, 0.000575447, 0.000580386, 100, 100, 100, 3
O1_matmul, 0.0953942, 0.09544, 0.095749, 0.0950744, 0.095061, 500, 500, 500, 3
O1_matmul, 0.776578, 0.776117, 0.775467, 0.774945, 0.776749, 1000, 1000, 1000, 3
O1_matmul, 6.32629, 6.3238, 6.32467, 6.32645, 6.32582, 2000, 2000, 2000, 3
O1_matmul, 51.7078, 51.7045, 51.7081, 51.7072, 51.7045, 4000, 4000, 4000, 3
O1_scalar, 4.583e-05, 4.0772e-05, 3.949e-05, 3.8479e-05, 3.936e-05, 100, 100, 100, 4
O1_scalar, 0.00104173, 0.000921795, 0.000902746, 0.000910558, 0.00088611, 500, 500, 500, 4
O1_scalar, 0.00208877, 0.00191372, 0.0018571, 0.00182855, 0.00183274, 1000, 1000, 1000, 4
O1_scalar, 0.00781089, 0.00770334, 0.00765108, 0.00765029, 0.00757848, 2000, 2000, 2000, 4
O1_scalar, 0.0283474, 0.0283199, 0.0283412, 0.028317, 0.0283188, 4000, 4000, 4000, 4
O1_transpose, 4.572e-05, 4.1743e-05, 4.0992e-05, 4.0582e-05, 3.9922e-05, 100, 100, 100, 5
O1_transpose, 0.00119964, 0.00100737, 0.000962397, 0.000949828, 0.000964891, 500, 500, 500, 5
O1_transpose, 0.00235958, 0.00210696, 0.0020735, 0.0020822, 0.00203376, 1000, 1000, 1000, 5
O1_transpose, 0.0103088, 0.0100882, 0.0100975, 0.0100942, 0.0101363, 2000, 2000, 2000, 5
O1_transpose, 0.0438438, 0.0436991, 0.0434737, 0.0434904, 0.0436786, 4000, 4000, 4000, 5
O1_sub_mul, 9.83e-05, 8.7663e-05, 9.3984e-05, 8.7133e-05, 8.7444e-05, 100, 100, 100, 6
O1_sub_mul, 0.00260717, 0.00223592, 0.00224504, 0.00221812, 0.00224048, 500, 500, 500, 6
O1_sub_mul, 0.0057111, 0.00564319, 0.00550653, 0.00558885, 0.00548099, 1000, 1000, 1000, 6
O1_sub_mul, 0.0204376, 0.0203792, 0.0203826, 0.0203299, 0.0202949, 2000, 2000, 2000, 6
O1_sub_mul, 0.0788497, 0.0791653, 0.0791879, 0.0788594, 0.0788437, 4000, 4000, 4000, 6
O2_add, 3.956e-05, 3.4593e-05, 3.5263e-05, 3.4252e-05, 3.3951e-05, 100, 100, 100, 1
O2_add, 0.000851197, 0.000823725, 0.000775592, 0.000810004, 0.000781771, 500, 500, 500, 1
O2_add, 0.00159673, 0.00136299, 0.00144141, 0.00135241, 0.00136437, 1000, 1000, 1000, 1
O2_add, 0.00626858, 0.00623711, 0.00621174, 0.00622074, 0.00622183, 2000, 2000, 2000, 1
O2_add, 0.0229982, 0.0230181, 0.0228383, 0.0229605, 0.0228465, 4000, 4000, 4000, 1
O2_sub, 4.2845e-05, 3.9048e-05, 3.7647e-05, 3.6916e-05, 3.6866e-05, 100, 100, 100, 2
O2_sub, 0.000954035, 0.000910298, 0.000827972, 0.000810004, 0.000827512, 500, 500, 500, 2
O2_sub, 0.00172596, 0.00157732, 0.00151842, 0.00149991, 0.00154199, 1000, 1000, 1000, 2
O2_sub, 0.00634948, 0.00633929, 0.00633387, 0.00631514, 0.00632658, 2000, 2000, 2000, 2
O2_sub, 0.0228059, 0.0227792, 0.0228667, 0.0228384, 0.0228527, 4000, 4000, 4000, 2
O2_matmul, 0.000583889, 0.000572342, 0.000573754, 0.000567745, 0.000571542, 100, 100, 100, 3
