Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_add, 5.4123e-05, 4.8363e-05, 4.7172e-05, 4.8323e-05, 6.0202e-05, 100, 100, 100, 1
O1_add, 0.00122945, 0.00111422, 0.00111482, 0.00111133, 0.00111165, 500, 500, 500, 1
O1_add, 0.00300861, 0.00284503, 0.00285867, 0.00282047, 0.0028171, 1000, 1000, 1000, 1
O1_add, 0.0113992, 0.0113499, 0.0113209, 0.0113385, 0.0113669, 2000, 2000, 2000, 1
O1_add, 0.0428855, 0.0429177, 0.0428595, 0.0428801, 0.0428297, 4000, 4000, 4000, 1
O1_sub, 5.319e-05, 4.9315e-05, 4.8594e-05, 4.8033e-05, 4.8914e-05, 100, 100, 100, 2
O1_sub, 0.00122086, 0.00110645, 0.00110076, 0.00111418, 0.00111058, 500, 500, 500, 2
O1_sub, 0.00304547, 0.00285397, 0.00282976, 0.0028417, 0.00284836, 1000, 1000, 1000, 2
O1_sub, 0.0113813, 0.0113702, 0.0113752, 0.011357, 0.0113708, 2000, 2000, 2000, 2
O1_sub, 0.0429482, 0.0429028, 0.0428702, 0.0428903, 0.0428883, 4000, 4000, 4000, 2
O1_matmul, 0.000261599, 0.000259045, 0.000266616, 0.000255319, 0.00025633, 100, 100, 100, 3
O1_matmul, 0.0247451, 0.0244369, 0.0242767, 0.0243189, 0.0244381, 500, 500, 500, 3
O1_matmul, 0.18592, 0.18564, 0.18508, 0.185484, 0.18535, 1000, 1000, 1000, 3
O1_matmul, 1.42743, 1.42189, 1.42449, 1.4263, 1.42431, 2000, 2000, 2000, 3
O1_matmul, 11.4332, 11.4519, 11.4483, 11.4493, 11.4143, 4000, 4000, 4000, 3
O1_scalar, 4.5269e-05, 3.925e-05, 3.8249e-05, 3.8829e-05, 3.899e-05, 100, 100, 100, 4
O1_scalar, 0.00100193, 0.000879591, 0.000901222, 0.00087275, 0.00087263, 500, 500, 500, 4
O1_scalar, 0.00206391, 0.00180912, 0.00181735, 0.00183198, 0.00178525, 1000, 1000, 1000, 4
O1_scalar, 0.00784465, 0.00767782, 0.00759663, 0.0077221, 0.00757308, 2000, 2000, 2000, 4
O1_scalar, 0.0282557, 0.0283576, 0.0282789, 0.0282852, 0.0282679, 4000, 4000, 4000, 4
O1_transpose, 4.602e-05, 4.1874e-05, 4.022e-05, 4.0882e-05, 3.994e-05, 100, 100, 100, 5
O1_transpose, 0.00113894, 0.00107056, 0.00099718, 0.000948827, 0.000968366, 500, 500, 500, 5
O1_transpose, 0.00235841, 0.00203071, 0.00202479, 0.00205171, 0.00210768, 1000, 1000, 1000, 5
O1_transpose, 0.0101638, 0.0100792, 0.0100928, 0.0100758, 0.0101547, 2000, 2000, 2000, 5
