Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 7.386e-06, 4.775e-06, 5.723e-06, 9.507e-06, 7.405e-06, 10, 10, 10, 1 , 1
fO3native_add, 6.87e-06, 9.515e-06, 9.561e-06, 9.244e-06, 1.0319e-05, 25, 25, 25, 1 , 1
fO3native_add, 3.3203e-05, 2.4884e-05, 2.3397e-05, 2.4337e-05, 2.3423e-05, 50, 50, 50, 1 , 1
fO3native_add, 5.7335e-05, 5.7957e-05, 5.9465e-05, 5.9337e-05, 7.8708e-05, 100, 100, 100, 1 , 1
fO3native_add, 0.00190457, 0.00215838, 0.00205884, 0.00204383, 0.00289173, 500, 500, 500, 1 , 1
fO3native_add, 0.00372322, 0.00632022, 0.00330117, 0.0033634, 0.00325573, 1000, 1000, 1000, 1 , 1
fO3native_add, 0.0214707, 0.0210737, 0.0210044, 0.0202078, 0.0203529, 2000, 2000, 2000, 1 , 1
fO3native_add, 0.0832669, 0.082458, 0.0831084, 0.0821052, 0.0823373, 4000, 4000, 4000, 1 , 1
fO3native_sub, 8.294e-06, 8.157e-06, 8.005e-06, 6.91e-06, 5.373e-06, 10, 10, 10, 2 , 1
fO3native_sub, 7.519e-06, 6.856e-06, 7.201e-06, 7.149e-06, 6.648e-06, 25, 25, 25, 2 , 1
fO3native_sub, 1.7864e-05, 1.9752e-05, 1.5356e-05, 2.0038e-05, 1.8902e-05, 50, 50, 50, 2 , 1
fO3native_sub, 3.5e-05, 3.6898e-05, 3.7536e-05, 3.8007e-05, 3.8707e-05, 100, 100, 100, 2 , 1
fO3native_sub, 0.00104122, 0.000968047, 0.0010158, 0.00115588, 0.00132466, 500, 500, 500, 2 , 1
fO3native_sub, 0.0034558, 0.00383196, 0.00311215, 0.00322129, 0.00388685, 1000, 1000, 1000, 2 , 1
fO3native_sub, 0.0198156, 0.0196707, 0.0209248, 0.0205473, 0.0200292, 2000, 2000, 2000, 2 , 1
fO3native_sub, 0.0811763, 0.0775292, 0.0804137, 0.0818952, 0.0795059, 4000, 4000, 4000, 2 , 1
fO3native_matmul, 0.000489158, 0.000355649, 0.000356826, 0.000330874, 0.000303226, 10, 10, 10, 3 , 1
fO3native_matmul, 0.0003718, 0.000342497, 0.000382727, 0.000335089, 0.000362103, 25, 25, 25, 3 , 1
fO3native_matmul, 0.000423652, 0.000354617, 0.000393232, 0.000430307, 0.000396987, 50, 50, 50, 3 , 1
fO3native_matmul, 0.000511447, 0.00053179, 0.000555696, 0.000545346, 0.000529803, 100, 100, 100, 3 , 1
