Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 8.343e-06, 6.429e-06, 3.857e-06, 3.575e-06, 4.569e-06, 10, 10, 10, 1 , 1
fO3native_add, 5.736e-06, 7.698e-06, 6.327e-06, 6.654e-06, 5.685e-06, 25, 25, 25, 1 , 1
fO3native_add, 1.4121e-05, 1.2888e-05, 1.4826e-05, 1.5539e-05, 1.4291e-05, 50, 50, 50, 1 , 1
fO3native_add, 2.9764e-05, 2.6325e-05, 2.7447e-05, 2.8388e-05, 3.036e-05, 100, 100, 100, 1 , 1
fO3native_add, 0.000741194, 0.000819699, 0.000854255, 0.000909548, 0.000838667, 500, 500, 500, 1 , 1
fO3native_add, 0.00398463, 0.00385833, 0.00365044, 0.00405912, 0.00374315, 1000, 1000, 1000, 1 , 1
fO3native_add, 0.014703, 0.0147313, 0.015231, 0.0151453, 0.0160509, 2000, 2000, 2000, 1 , 1
fO3native_add, 0.0620231, 0.0581131, 0.0579381, 0.058351, 0.0626579, 4000, 4000, 4000, 1 , 1
fO3native_sub, 5.902e-06, 4.581e-06, 3.862e-06, 4.482e-06, 5.463e-06, 10, 10, 10, 2 , 1
fO3native_sub, 5.489e-06, 6.835e-06, 5.825e-06, 5.332e-06, 5.848e-06, 25, 25, 25, 2 , 1
fO3native_sub, 1.3807e-05, 1.4886e-05, 1.3455e-05, 1.3854e-05, 1.3396e-05, 50, 50, 50, 2 , 1
fO3native_sub, 2.9525e-05, 3.0083e-05, 2.8013e-05, 2.7695e-05, 2.6828e-05, 100, 100, 100, 2 , 1
fO3native_sub, 0.000784534, 0.000872437, 0.00083649, 0.000946974, 0.0009481, 500, 500, 500, 2 , 1
fO3native_sub, 0.00372076, 0.00363829, 0.00363902, 0.00373503, 0.00360478, 1000, 1000, 1000, 2 , 1
fO3native_sub, 0.0149802, 0.0146518, 0.0146204, 0.0150302, 0.0144406, 2000, 2000, 2000, 2 , 1
fO3native_sub, 0.0621614, 0.0607596, 0.0586765, 0.058924, 0.0579484, 4000, 4000, 4000, 2 , 1
fO3native_matmul, 0.000216668, 0.000241606, 0.000233312, 0.000243969, 0.000249841, 10, 10, 10, 3 , 1
fO3native_matmul, 0.000220022, 0.00025832, 0.000251773, 0.000261864, 0.000256995, 25, 25, 25, 3 , 1
fO3native_matmul, 0.000252183, 0.000287684, 0.000287764, 0.000260817, 0.000244277, 50, 50, 50, 3 , 1
fO3native_matmul, 0.000376385, 0.000352773, 0.00035203, 0.000362822, 0.000341103, 100, 100, 100, 3 , 1
fO3native_matmul, 0.0115476, 0.0108959, 0.0110867, 0.0147623, 0.0152126, 500, 500, 500, 3 , 1
fO3native_matmul, 0.0625098, 0.0684521, 0.0644376, 0.0594306, 0.063727, 1000, 1000, 1000, 3 , 1
fO3native_matmul, 0.43867, 0.444002, 0.466416, 0.493748, 0.44379, 2000, 2000, 2000, 3 , 1
