Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 5.758e-06, 6.089e-06, 5.959e-06, 9.914e-06, 5.959e-06, 10, 10, 10, 1 , 1
fO3native_add, 9.055e-06, 8.783e-06, 8.694e-06, 9.718e-06, 9.604e-06, 25, 25, 25, 1 , 1
fO3native_add, 2.2794e-05, 2.523e-05, 2.4849e-05, 2.4721e-05, 2.608e-05, 50, 50, 50, 1 , 1
fO3native_add, 4.2946e-05, 4.0813e-05, 4.1706e-05, 4.1343e-05, 4.0722e-05, 100, 100, 100, 1 , 1
fO3native_add, 0.000833749, 0.000868842, 0.000850011, 0.00081453, 0.000870886, 500, 500, 500, 1 , 1
fO3native_add, 0.00175404, 0.00157944, 0.00157265, 0.00157977, 0.00157899, 1000, 1000, 1000, 1 , 1
fO3native_add, 0.00608295, 0.006281, 0.00619069, 0.00628805, 0.00607361, 2000, 2000, 2000, 1 , 1
fO3native_add, 0.0236437, 0.0231532, 0.0231761, 0.0235681, 0.0237057, 4000, 4000, 4000, 1 , 1
fO3native_sub, 5.679e-06, 5.979e-06, 6.119e-06, 6.039e-06, 5.923e-06, 10, 10, 10, 2 , 1
fO3native_sub, 9.044e-06, 9.284e-06, 9.474e-06, 8.734e-06, 9.314e-06, 25, 25, 25, 2 , 1
fO3native_sub, 2.5538e-05, 2.631e-05, 2.3826e-05, 3.0266e-05, 2.6249e-05, 50, 50, 50, 2 , 1
fO3native_sub, 4.3065e-05, 4.1352e-05, 4.3836e-05, 4.2825e-05, 4.1162e-05, 100, 100, 100, 2 , 1
fO3native_sub, 0.00118613, 0.000869964, 0.000878216, 0.000856594, 0.000881091, 500, 500, 500, 2 , 1
fO3native_sub, 0.00158182, 0.00167103, 0.00160489, 0.00159576, 0.00173203, 1000, 1000, 1000, 2 , 1
fO3native_sub, 0.00615696, 0.00612627, 0.00620118, 0.00613765, 0.0060756, 2000, 2000, 2000, 2 , 1
fO3native_sub, 0.0234269, 0.0235437, 0.0231542, 0.0227492, 0.02366, 4000, 4000, 4000, 2 , 1
fO3native_matmul, 0.00057114, 0.000515524, 0.00052055, 0.000509739, 0.000545375, 10, 10, 10, 3 , 1
fO3native_matmul, 0.000540393, 0.000571638, 0.000543928, 0.000536898, 0.000630862, 25, 25, 25, 3 , 1
fO3native_matmul, 0.000594417, 0.000594978, 0.000550281, 0.000583939, 0.000618875, 50, 50, 50, 3 , 1
fO3native_matmul, 0.00067588, 0.000699965, 0.000684403, 0.00068982, 0.000732392, 100, 100, 100, 3 , 1
fO3native_matmul, 0.00635735, 0.00494858, 0.00505844, 0.0058317, 0.00608342, 500, 500, 500, 3 , 1
fO3native_matmul, 0.0239446, 0.0247674, 0.0325543, 0.0318031, 0.0292047, 1000, 1000, 1000, 3 , 1
fO3native_matmul, 0.194963, 0.195112, 0.191567, 0.193705, 0.191646, 2000, 2000, 2000, 3 , 1
fO3native_matmul, 1.41969, 1.44198, 1.40425, 1.39029, 1.44544, 4000, 4000, 4000, 3 , 1
fO3native_scalar, 6.11e-06, 6.45e-06, 6.14e-06, 5.939e-06, 6.009e-06, 10, 10, 10, 4 , 1
fO3native_scalar, 7.552e-06, 7.761e-06, 7.823e-06, 7.421e-06, 8.102e-06, 25, 25, 25, 4 , 1
fO3native_scalar, 1.8438e-05, 1.7084e-05, 2.0291e-05, 1.7033e-05, 2.1002e-05, 50, 50, 50, 4 , 1
fO3native_scalar, 3.851e-05, 4.1294e-05, 4.0802e-05, 4.0603e-05, 3.8068e-05, 100, 100, 100, 4 , 1
fO3native_scalar, 0.000794879, 0.000823402, 0.000862385, 0.000782581, 0.00100566, 500, 500, 500, 4 , 1
fO3native_scalar, 0.0014517, 0.00140455, 0.0013972, 0.00142635, 0.00139928, 1000, 1000, 1000, 4 , 1
fO3native_scalar, 0.00543002, 0.0055457, 0.00542511, 0.00535791, 0.00544488, 2000, 2000, 2000, 4 , 1
fO3native_scalar, 0.0204842, 0.0199064, 0.0203563, 0.0205079, 0.0201299, 4000, 4000, 4000, 4 , 1
fO3native_transpose, 5.98e-06, 6.109e-06, 5.859e-06, 5.739e-06, 5.588e-06, 10, 10, 10, 5 , 1
fO3native_transpose, 7.521e-06, 7.893e-06, 7.421e-06, 7.733e-06, 7.922e-06, 25, 25, 25, 5 , 1
fO3native_transpose, 1.6767e-05, 1.7748e-05, 1.965e-05, 1.8257e-05, 1.7716e-05, 50, 50, 50, 5 , 1
fO3native_transpose, 4.2886e-05, 4.0882e-05, 4.0681e-05, 4.1744e-05, 4.2044e-05, 100, 100, 100, 5 , 1
fO3native_transpose, 0.000884186, 0.000942696, 0.00101872, 0.000927642, 0.000860914, 500, 500, 500, 5 , 1
fO3native_transpose, 0.00186353, 0.0018687, 0.00183149, 0.00194113, 0.00195614, 1000, 1000, 1000, 5 , 1
