Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 0.00136008, 6.833e-06, 1.0194e-05, 1.0409e-05, 8.84e-06, 10, 10, 10, 1 , 1
fO3native_add, 9.96e-06, 9.081e-06, 1.6457e-05, 1.3092e-05, 9.4e-06, 25, 25, 25, 1 , 1
fO3native_add, 3.0819e-05, 3.9128e-05, 3.026e-05, 3.7823e-05, 2.8402e-05, 50, 50, 50, 1 , 1
fO3native_add, 7.5722e-05, 7.9106e-05, 7.4002e-05, 9.4398e-05, 7.1673e-05, 100, 100, 100, 1 , 1
fO3native_add, 0.0024446, 0.00209374, 0.00195594, 0.00145864, 0.00207419, 500, 500, 500, 1 , 1
fO3native_add, 0.00515204, 0.00933671, 0.00659856, 0.00310287, 0.00632854, 1000, 1000, 1000, 1 , 1
fO3native_add, 0.0199315, 0.0200581, 0.0211169, 0.0208006, 0.0212632, 2000, 2000, 2000, 1 , 1
fO3native_add, 0.0783255, 0.0870716, 0.0801078, 0.0796921, 0.0792146, 4000, 4000, 4000, 1 , 1
fO3native_sub, 5.519e-06, 5.633e-06, 5.399e-06, 6.262e-06, 5.586e-06, 10, 10, 10, 2 , 1
fO3native_sub, 8.232e-06, 7.528e-06, 6.393e-06, 7.812e-06, 6.871e-06, 25, 25, 25, 2 , 1
fO3native_sub, 1.5977e-05, 1.7834e-05, 1.7449e-05, 1.8221e-05, 1.6461e-05, 50, 50, 50, 2 , 1
fO3native_sub, 3.963e-05, 3.876e-05, 3.8436e-05, 3.7054e-05, 3.5997e-05, 100, 100, 100, 2 , 1
fO3native_sub, 0.00112866, 0.00128298, 0.00118755, 0.00154213, 0.00197743, 500, 500, 500, 2 , 1
fO3native_sub, 0.00481484, 0.00336084, 0.00321113, 0.00514114, 0.00489971, 1000, 1000, 1000, 2 , 1
fO3native_sub, 0.0209984, 0.0212608, 0.0198151, 0.020827, 0.0213475, 2000, 2000, 2000, 2 , 1
fO3native_sub, 0.0761876, 0.0784572, 0.0784369, 0.078368, 0.0789158, 4000, 4000, 4000, 2 , 1
fO3native_matmul, 7.098e-06, 1.3063e-05, 8.064e-06, 9.897e-06, 7.056e-06, 10, 10, 10, 3 , 1
fO3native_matmul, 1.7335e-05, 2.504e-05, 1.3939e-05, 1.3003e-05, 1.0651e-05, 25, 25, 25, 3 , 1
fO3native_matmul, 4.4903e-05, 4.3019e-05, 5.5949e-05, 4.5925e-05, 4.4042e-05, 50, 50, 50, 3 , 1
fO3native_matmul, 0.000267663, 0.000265922, 0.000339331, 0.000267497, 0.000310616, 100, 100, 100, 3 , 1
fO3native_matmul, 0.0603486, 0.03798, 0.0366454, 0.0375176, 0.0372104, 500, 500, 500, 3 , 1
fO3native_matmul, 0.549176, 0.523929, 0.517887, 0.492676, 0.490998, 1000, 1000, 1000, 3 , 1
fO3native_matmul, 4.27599, 4.30362, 4.29388, 4.32963, 4.35939, 2000, 2000, 2000, 3 , 1
fO3native_matmul, 37.0317, 37.3289, 37.5384, 37.7375, 37.9237, 4000, 4000, 4000, 3 , 1
fO3native_scalar, 7.853e-06, 5.721e-06, 2.946e-06, 5.68e-06, 3.222e-06, 10, 10, 10, 4 , 1
fO3native_scalar, 7.389e-06, 6.367e-06, 6.226e-06, 5.329e-06, 8.261e-06, 25, 25, 25, 4 , 1
fO3native_scalar, 1.3408e-05, 1.2266e-05, 1.3685e-05, 1.6944e-05, 1.508e-05, 50, 50, 50, 4 , 1
fO3native_scalar, 5.2261e-05, 5.2607e-05, 5.2138e-05, 5.931e-05, 4.8238e-05, 100, 100, 100, 4 , 1
fO3native_scalar, 0.00138741, 0.00123686, 0.00126268, 0.00135804, 0.00110017, 500, 500, 500, 4 , 1
fO3native_scalar, 0.00272822, 0.00336701, 0.00277845, 0.00335879, 0.00666762, 1000, 1000, 1000, 4 , 1
fO3native_scalar, 0.00875397, 0.00962685, 0.00838665, 0.00892077, 0.00919088, 2000, 2000, 2000, 4 , 1
fO3native_scalar, 0.0696807, 0.0697436, 0.0697725, 0.0687359, 0.0695075, 4000, 4000, 4000, 4 , 1
fO3native_transpose, 5.954e-06, 5.039e-06, 1.3469e-05, 3.058e-06, 4.795e-06, 10, 10, 10, 5 , 1
fO3native_transpose, 8.381e-06, 8.151e-06, 4.334e-06, 5.155e-06, 4.689e-06, 25, 25, 25, 5 , 1
fO3native_transpose, 1.3563e-05, 1.3745e-05, 1.6022e-05, 2.2411e-05, 1.5223e-05, 50, 50, 50, 5 , 1
