Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 2.985e-06, 3.685e-06, 3.055e-06, 2.804e-06, 2.313e-06, 10, 10, 10, 1 , 1
fO3native_add, 5.418e-06, 5.518e-06, 5.96e-06, 5.678e-06, 5.269e-06, 25, 25, 25, 1 , 1
fO3native_add, 1.9249e-05, 1.8519e-05, 2.1744e-05, 1.9279e-05, 1.906e-05, 50, 50, 50, 1 , 1
fO3native_add, 4.3547e-05, 3.4153e-05, 3.2469e-05, 4.0922e-05, 3.2329e-05, 100, 100, 100, 1 , 1
fO3native_add, 0.000946936, 0.000893505, 0.000901525, 0.00072762, 0.000805259, 500, 500, 500, 1 , 1
fO3native_add, 0.00177438, 0.00168147, 0.00183536, 0.00129018, 0.00147796, 1000, 1000, 1000, 1 , 1
fO3native_add, 0.00597389, 0.00619931, 0.00669515, 0.00630084, 0.00581306, 2000, 2000, 2000, 1 , 1
fO3native_add, 0.0229659, 0.0232382, 0.0232828, 0.0231633, 0.0232763, 4000, 4000, 4000, 1 , 1
fO3native_sub, 3.646e-06, 3.505e-06, 2.273e-06, 2.314e-06, 2.785e-06, 10, 10, 10, 2 , 1
fO3native_sub, 5.309e-06, 5.479e-06, 5.348e-06, 5.698e-06, 5.438e-06, 25, 25, 25, 2 , 1
fO3native_sub, 1.8969e-05, 1.8758e-05, 1.8848e-05, 1.8537e-05, 2.3966e-05, 50, 50, 50, 2 , 1
fO3native_sub, 3.6236e-05, 3.5545e-05, 3.4813e-05, 3.7828e-05, 3.5794e-05, 100, 100, 100, 2 , 1
fO3native_sub, 0.000788293, 0.000834114, 0.000721912, 0.000827052, 0.000743616, 500, 500, 500, 2 , 1
fO3native_sub, 0.00145083, 0.00157405, 0.00156382, 0.00156198, 0.00177952, 1000, 1000, 1000, 2 , 1
fO3native_sub, 0.00585164, 0.00595953, 0.00594189, 0.00658488, 0.00604963, 2000, 2000, 2000, 2 , 1
fO3native_sub, 0.0240536, 0.0239113, 0.0235566, 0.0236184, 0.0231396, 4000, 4000, 4000, 2 , 1
fO3native_matmul, 8.203e-06, 7.861e-06, 6.51e-06, 6.68e-06, 6.38e-06, 10, 10, 10, 3 , 1
fO3native_matmul, 1.2138e-05, 1.233e-05, 1.292e-05, 1.271e-05, 1.2318e-05, 25, 25, 25, 3 , 1
fO3native_matmul, 4.3036e-05, 4.1913e-05, 4.1013e-05, 4.1154e-05, 4.1503e-05, 50, 50, 50, 3 , 1
fO3native_matmul, 0.000224703, 0.000226266, 0.000214897, 0.000218143, 0.000218164, 100, 100, 100, 3 , 1
fO3native_matmul, 0.0226076, 0.0232177, 0.0227426, 0.0229346, 0.0225304, 500, 500, 500, 3 , 1
fO3native_matmul, 0.186016, 0.186205, 0.186055, 0.186197, 0.186017, 1000, 1000, 1000, 3 , 1
fO3native_matmul, 1.64299, 1.65997, 1.63955, 1.66336, 1.64223, 2000, 2000, 2000, 3 , 1
fO3native_matmul, 21.6348, 21.8041, 21.7999, 21.8161, 21.6123, 4000, 4000, 4000, 3 , 1
fO3native_scalar, 5.999e-06, 5.198e-06, 3.796e-06, 3.785e-06, 3.885e-06, 10, 10, 10, 4 , 1
fO3native_scalar, 6.469e-06, 6.299e-06, 5.578e-06, 5.558e-06, 5.779e-06, 25, 25, 25, 4 , 1
fO3native_scalar, 1.3712e-05, 1.3421e-05, 1.396e-05, 1.4433e-05, 1.4171e-05, 50, 50, 50, 4 , 1
fO3native_scalar, 3.7938e-05, 3.7478e-05, 3.7418e-05, 3.3401e-05, 3.7888e-05, 100, 100, 100, 4 , 1
fO3native_scalar, 0.000810638, 0.0007932, 0.000757176, 0.000798429, 0.00073412, 500, 500, 500, 4 , 1
fO3native_scalar, 0.00146877, 0.00150293, 0.00154158, 0.00136652, 0.00118625, 1000, 1000, 1000, 4 , 1
fO3native_scalar, 0.00534937, 0.00540297, 0.00555588, 0.00595328, 0.0054634, 2000, 2000, 2000, 4 , 1
fO3native_scalar, 0.0210374, 0.0221552, 0.0210258, 0.0209932, 0.0211839, 4000, 4000, 4000, 4 , 1
fO3native_transpose, 5.398e-06, 3.975e-06, 3.846e-06, 3.836e-06, 4.958e-06, 10, 10, 10, 5 , 1
fO3native_transpose, 6.069e-06, 6e-06, 5.749e-06, 5.819e-06, 5.469e-06, 25, 25, 25, 5 , 1
fO3native_transpose, 1.5894e-05, 1.5154e-05, 1.6006e-05, 1.5174e-05, 1.4712e-05, 50, 50, 50, 5 , 1
fO3native_transpose, 4.1963e-05, 4.0842e-05, 4.3005e-05, 4.1494e-05, 4.6121e-05, 100, 100, 100, 5 , 1
fO3native_transpose, 0.000875998, 0.000835856, 0.000866122, 0.000876157, 0.000758658, 500, 500, 500, 5 , 1
fO3native_transpose, 0.00183528, 0.00181068, 0.00180568, 0.00159638, 0.00190094, 1000, 1000, 1000, 5 , 1
fO3native_transpose, 0.00805273, 0.00811109, 0.00855066, 0.00837266, 0.00778061, 2000, 2000, 2000, 5 , 1
fO3native_transpose, 0.0352917, 0.0350891, 0.0345879, 0.036179, 0.0353501, 4000, 4000, 4000, 5 , 1
fO3native_sub_mul, 1.1026e-05, 9.945e-06, 9.756e-06, 1.0105e-05, 9.906e-06, 10, 10, 10, 6 , 1
fO3native_sub_mul, 1.1938e-05, 1.232e-05, 1.2328e-05, 1.264e-05, 1.2419e-05, 25, 25, 25, 6 , 1
fO3native_sub_mul, 3.1578e-05, 3.0907e-05, 3.3241e-05, 3.261e-05, 3.3632e-05, 50, 50, 50, 6 , 1
fO3native_sub_mul, 8.5451e-05, 7.5134e-05, 7.6997e-05, 7.233e-05, 6.9566e-05, 100, 100, 100, 6 , 1
fO3native_sub_mul, 0.00186393, 0.00178595, 0.0017417, 0.0017995, 0.00180396, 500, 500, 500, 6 , 1
fO3native_sub_mul, 0.00355012, 0.00373667, 0.00370599, 0.003567, 0.00365314, 1000, 1000, 1000, 6 , 1
fO3native_sub_mul, 0.0125902, 0.014151, 0.0136889, 0.0136504, 0.0141984, 2000, 2000, 2000, 6 , 1
fO3native_sub_mul, 0.0514911, 0.0546959, 0.0540747, 0.0528293, 0.0519593, 4000, 4000, 4000, 6 , 1
fO3native_add, 0.000141616, 0.000124589, 0.000121456, 0.000132993, 0.000124, 10, 10, 10, 1 , 2
fO3native_add, 8.8995e-05, 7.7108e-05, 0.000118231, 8.7954e-05, 9.4534e-05, 25, 25, 25, 1 , 2
fO3native_add, 9.4024e-05, 8.7674e-05, 9.226e-05, 9.1521e-05, 8.9356e-05, 50, 50, 50, 1 , 2
fO3native_add, 0.000128527, 0.000158333, 0.000120433, 0.000121485, 0.000117008, 100, 100, 100, 1 , 2
fO3native_add, 0.000900825, 0.000782223, 0.000889157, 0.000728091, 0.000833382, 500, 500, 500, 1 , 2
fO3native_add, 0.00161119, 0.00173567, 0.00145763, 0.00149315, 0.00168312, 1000, 1000, 1000, 1 , 2
fO3native_add, 0.00525294, 0.00539365, 0.00539426, 0.00553357, 0.00541799, 2000, 2000, 2000, 1 , 2
fO3native_add, 0.0200696, 0.0215219, 0.0198553, 0.0202056, 0.0196886, 4000, 4000, 4000, 1 , 2
fO3native_sub, 0.000138942, 0.000304856, 0.000146804, 0.000115117, 0.000117249, 10, 10, 10, 2 , 2
fO3native_sub, 0.000113342, 0.000110789, 0.000115376, 8.8505e-05, 9.3663e-05, 25, 25, 25, 2 , 2
fO3native_sub, 0.000114185, 0.000117169, 0.000125221, 9.4984e-05, 8.0052e-05, 50, 50, 50, 2 , 2
fO3native_sub, 0.000148247, 0.000131411, 0.000115896, 0.000116687, 0.000113391, 100, 100, 100, 2 , 2
fO3native_sub, 0.000756665, 0.000896328, 0.00085792, 0.000763936, 0.000800251, 500, 500, 500, 2 , 2
fO3native_sub, 0.00161696, 0.00161611, 0.00152426, 0.00161197, 0.00141214, 1000, 1000, 1000, 2 , 2
fO3native_sub, 0.00569719, 0.00550899, 0.00592822, 0.00548245, 0.00589506, 2000, 2000, 2000, 2 , 2
fO3native_sub, 0.0202974, 0.0203733, 0.0204498, 0.020468, 0.0204937, 4000, 4000, 4000, 2 , 2
