Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_, 0.0037999, 0.00930964, 0.00933937, 0.00244129, 0.00241683, 100, 100, 100, 3
O1_, 0.0400289, 0.0398259, 0.0249861, 0.0355157, 0.0279341, 500, 500, 500, 3
O2_, 0.00283554, 0.00228581, 0.004993, 0.00293276, 0.00397137, 100, 100, 100, 3
O2_, 0.0284184, 0.0376645, 0.04743, 0.0505621, 0.0217792, 500, 500, 500, 3
O3_, 0.00301249, 0.010527, 0.00420002, 0.00805129, 0.00731331, 100, 100, 100, 3
O3_, 0.0395137, 0.0234888, 0.0287852, 0.0185615, 0.027528, 500, 500, 500, 3
fastmath_, 0.00494206, 0.00320767, 0.00502382, 0.0042373, 0.0141942, 100, 100, 100, 3
fastmath_, 0.0841861, 0.0896156, 0.0830424, 0.0952804, 0.108038, 500, 500, 500, 3
native_, 0.00473724, 0.0048899, 0.00513437, 0.0050289, 0.00424038, 100, 100, 100, 3
native_, 0.101033, 0.0913409, 0.103622, 0.0879727, 0.0943222, 500, 500, 500, 3
fO3_, 0.00643396, 0.00658723, 0.0019672, 0.00241734, 0.00244948, 100, 100, 100, 3
fO3_, 0.0243271, 0.0388655, 0.0350783, 0.040084, 0.0275683, 500, 500, 500, 3
fO3native_, 0.00291673, 0.00206433, 0.00245626, 0.00737886, 0.00276974, 100, 100, 100, 3
fO3native_, 0.0202253, 0.0162523, 0.019159, 0.024249, 0.031539, 500, 500, 500, 3
